Test #,Strategy,Parameters,Return %,Sharpe,Win Rate %,Max DD %,Trades,Profit Factor
11,DualMA,"{'fast_ma': 10, 'slow_ma': 20}",533.41,0.86,60.9,-20.0,46,3.69
151,TripleMA,"{'fast': 8, 'medium': 30, 'slow': 100}",247.93,0.79,55.6,-29.6,27,4.13
1,DualMA,"{'fast_ma': 5, 'slow_ma': 20}",388.02,0.77,48.2,-29.7,56,2.8
12,DualMA,"{'fast_ma': 10, 'slow_ma': 40}",448.5,0.76,56.5,-24.0,23,4.59
154,TripleMA,"{'fast': 8, 'medium': 40, 'slow': 100}",269.39,0.76,60.9,-28.3,23,3.65
160,TripleMA,"{'fast': 10, 'medium': 30, 'slow': 100}",235.83,0.75,52.0,-27.1,25,3.74
168,MomentumBreakout,{'lookback': 25},152.94,0.74,52.8,-20.4,72,1.82
157,TripleMA,"{'fast': 10, 'medium': 20, 'slow': 100}",204.89,0.72,58.1,-25.5,31,3.02
21,DualMA,"{'fast_ma': 15, 'slow_ma': 20}",435.41,0.7,42.6,-29.6,54,2.42
148,TripleMA,"{'fast': 8, 'medium': 20, 'slow': 100}",187.55,0.69,62.5,-34.1,32,2.66
169,MomentumBreakout,{'lookback': 30},147.95,0.68,50.0,-19.4,68,1.84
112,RSI,"{'rsi_period': 30, 'rsi_lower': 25, 'rsi_upper': 75}",22.38,0.67,,-5.1,0,
113,RSI,"{'rsi_period': 30, 'rsi_lower': 25, 'rsi_upper': 80}",22.38,0.67,,-5.1,0,
3,DualMA,"{'fast_ma': 5, 'slow_ma': 60}",269.42,0.66,48.0,-27.6,25,3.38
166,MomentumBreakout,{'lookback': 15},147.38,0.66,49.4,-28.6,87,1.66
163,TripleMA,"{'fast': 10, 'medium': 40, 'slow': 100}",198.45,0.64,57.9,-24.7,19,3.27
2,DualMA,"{'fast_ma': 5, 'slow_ma': 40}",264.15,0.64,48.6,-33.1,35,2.89
152,TripleMA,"{'fast': 8, 'medium': 30, 'slow': 200}",139.97,0.63,60.9,-22.2,23,3.78
133,BollingerBands,"{'bb_period': 25, 'bb_std': 3.0}",80.83,0.63,100.0,-16.0,1,
4,DualMA,"{'fast_ma': 5, 'slow_ma': 80}",253.59,0.63,35.7,-34.8,28,3.06
31,DualMA,"{'fast_ma': 20, 'slow_ma': 40}",261.49,0.62,58.3,-38.9,24,3.23
171,MomentumBreakout,{'lookback': 40},118.99,0.62,50.8,-19.3,59,1.82
165,MomentumBreakout,{'lookback': 10},149.97,0.62,50.0,-24.9,96,1.6
