Period,Strategy,Bars,Return %,Sharpe,Win Rate %,Max DD %,Trades,Buy & Hold %
Late Period (2012-2013),DualMA 5/20 (Fast),291,29.5,1.5,50.0,-5.6,6,39.0
Late Period (2012-2013),DualMA 10/20 (Best),291,37.2,1.4,75.0,-10.8,4,39.0
Financial Crisis (2008-2009),TripleMA 8/30/100,505,51.7,1.34,50.0,-12.7,4,13.8
Late Period (2012-2013),DualMA 10/50 (Slow),291,22.7,1.17,100.0,-14.1,1,30.9
Early Bull (2004-2007),DualMA 10/20 (Best),848,160.0,1.08,66.7,-20.0,18,506.7
Financial Crisis (2008-2009),DualMA 10/50 (Slow),505,64.1,1.05,50.0,-23.0,2,39.9
Early Bull (2004-2007),TripleMA 8/30/100,848,116.2,1.02,46.2,-17.9,13,254.5
Financial Crisis (2008-2009),DualMA 10/20 (Best),505,80.4,1.01,60.0,-17.3,10,13.1
Early Bull (2004-2007),DualMA 5/20 (Fast),848,133.5,0.98,52.6,-25.0,19,506.7
Second Half (2009-2013),DualMA 5/20 (Fast),1047,127.4,0.96,55.6,-23.3,27,138.1
Early Bull (2004-2007),DualMA 10/50 (Slow),848,131.2,0.96,57.1,-29.3,7,257.7
First Half (2004-2008),DualMA 10/20 (Best),1101,195.6,0.93,63.6,-20.0,22,169.9
Late Period (2012-2013),TripleMA 8/30/100,291,14.3,0.87,100.0,-15.3,1,33.6
Full Period (2004-2013),DualMA 10/20 (Best),2148,533.4,0.86,60.9,-20.0,46,607.4
Second Half (2009-2013),DualMA 10/20 (Best),1047,105.1,0.82,57.1,-19.3,21,138.1
Full Period (2004-2013),TripleMA 8/30/100,2148,247.9,0.79,55.6,-29.6,27,313.3
First Half (2004-2008),TripleMA 8/30/100,1101,95.4,0.78,43.8,-24.9,16,57.7
Financial Crisis (2008-2009),DualMA 5/20 (Fast),505,55.5,0.78,46.2,-29.5,13,13.1
Full Period (2004-2013),DualMA 5/20 (Fast),2148,388.0,0.77,48.2,-29.7,56,607.4
First Half (2004-2008),DualMA 10/50 (Slow),1101,112.6,0.75,66.7,-29.3,9,59.2
Second Half (2009-2013),TripleMA 8/30/100,1047,59.3,0.74,70.0,-16.7,10,98.8
First Half (2004-2008),DualMA 5/20 (Fast),1101,130.7,0.73,44.4,-25.0,27,169.9
Full Period (2004-2013),DualMA 10/50 (Slow),2148,244.5,0.62,52.6,-29.3,19,317.1
Second Half (2009-2013),DualMA 10/50 (Slow),1047,72.1,0.62,44.4,-23.9,9,152.2
Recovery (2010-2011),DualMA 5/20 (Fast),504,13.1,0.29,46.7,-19.5,15,21.2
Recovery (2010-2011),DualMA 10/50 (Slow),504,8.8,0.21,50.0,-21.2,4,14.3
Recovery (2010-2011),TripleMA 8/30/100,504,5.4,0.19,60.0,-16.8,5,35.8
Recovery (2010-2011),DualMA 10/20 (Best),504,4.6,0.11,41.7,-19.2,12,21.2
